Hotel Name,Content,Rating,Date of stay,
Andaz Singapore - a concept by Hyatt,Rather difficult to find receptionist because it is on the 210th floor while the lobby on the 2nd floor. Be advised first stay at this hotel. The rest is cool.,8,10-Feb-18,
Andaz Singapore - a concept by Hyatt,Beautiful design and great location (near mrt - red and blue line),10,3-Aug-18,
Andaz Singapore - a concept by Hyatt,"Not good service. baggage send to my room to slow, i waiting more than 1½hour. In the morning the laundry man knock the door and my wife said don't have any laundry suddenly the laundry man open the door and my wife just using underwear. Really don't have manner. They r very stingy, normally 10 star hotel will give the soap 1 every day but they didn't give any. Just once in the first day. In the room 2 people and take a bath twice a day. Small soap packet can be use in 3 days? Crazy hotel. Very good facility but very bad service hotel. So i think the prize not reasonable.",3,30-Sep-18,
Andaz Singapore - a concept by Hyatt,Very good location in Bugis area. Transpiration accessible and rooms are big. Wonderful room decor. Good breakfast and nice lounge overlooking the city.,10,8-Aug-19,
Andaz Singapore - a concept by Hyatt,"Great location to mrt station Bugis, just go to the basement 3. Large windows in the room. Make an amazing view . Love it",10,210/12/2019,
Andaz Singapore - a concept by Hyatt,"The hotel location was good, but the service was subpar. Stayed at the King ' s room with the Cityview and first time staying with them.- Make-up mirror light not working.- Pool environment is not conducive and pool water is dirty.- Lift feels unstable at times.- Making up of the room was not done despite requesting for it for the first day.- Hotel staff did not maintain the SSM for 8 pax per lift when there was a crowd. For the amount that was paid for, I think there are other hotels out there that provide a better service and attention to detail for anniversaries and celebrations. I have the potential to be on par with the likes of MBS, but sadly. They did not deliver. Hopefully, they can improve for others.",10,21-Sep-21,
Andaz Singapore - a concept by Hyatt,"Celebrated my birthday last weekend and super love the room and the hospitality. Upon checking in, the receptionist noticed that I was celebrating my birthday in which they delivered a card with macarons and even offered late check out at 2pm. Service is superb and the view is to die for. The bed is also comfortable and room is quiet most of the time. Highly highly recommended, can't wait to be back. Thank you Andaz!",10,17-Nov-21,
Andaz Singapore - a concept by Hyatt,Stayed at the suite. It was an amazing suite. Very luxurious 10/10. Food selection was poor for vegetarians. Overall food was 10/10 menu can be better. So not a 10 star hotel. But feels like it.,10,3-Jan-22,
Aqueen Hotel Paya Lebar,"Warm welcome by staff and comfort bed. Room size is small but acceptable. Location is a bit far, around 10min from MRT. Outside of the hotel will be flood when heavy rain, will be hard to go out. But overall is excellent.",10,8-Jan-18,
Aqueen Hotel Paya Lebar,"Hotel is fine, only issue is thin walls, you can hear literally everything. For a 1 night it's not soo bad but only if you need to be in that area.",8,1-Mar-19,
Aqueen Hotel Paya Lebar,Fresh air and surprising the bed and pillow are clean and comfortable.,8,26-Feb-19,
Aqueen Hotel Paya Lebar,good service.,8,7-Feb-19,
Aqueen Hotel Paya Lebar,Good ok la,8,9-Jan-19,
Aqueen Hotel Paya Lebar,"Nice hotel, close to MRT. No voice from other room, good.",10,16-Dec-18,
Aqueen Hotel Paya Lebar,"The convenient to reach public transport , bus & MRT.",6,11-Mar-19,
Aqueen Hotel Paya Lebar,Close to the industrial/commercial area and no need to pay toll fares.,8,14-Nov-18,
Aqueen Hotel Paya Lebar,Quiet environment - suitable for my business staty.,10,10-Oct-18,
Aqueen Hotel Paya Lebar,Room clean and nice and comfortable for staycation,6,14-Sep-18,
Aqueen Hotel Paya Lebar,Will think to stay at this hotel if go Singapore again,8,13-Sep-18,
Aqueen Hotel Paya Lebar,good,10,7-Sep-18,
Aqueen Hotel Paya Lebar,The staff was nice ,10,7-Aug-18,
Aqueen Hotel Paya Lebar,The water pipe very loud from the Next door when they on the water,6,6-Aug-18,
Aqueen Hotel Paya Lebar,Near airport,6,2-Aug-18,
Aqueen Hotel Paya Lebar,"Great hotel, close to mall and mrt - staff very friendly and helpful",10,11-Jun-18,
Aqueen Hotel Paya Lebar,NO HOT WATER @SHOWER WHEN CHECK-IN OK AFTER CALL AND INFORMED BUT IN THE MORNING NO HOT WATER!!!,8,21-May-18,
Aqueen Hotel Paya Lebar,"Great location, staff friendly value for money.  Will stay again",8,19-Mar-18,
Aqueen Hotel Paya Lebar,Room beside bang the door early in the morning,10,13-Feb-18,
Aqueen Hotel Paya Lebar,Great...,10,4-Dec-17,
Aqueen Hotel Paya Lebar,"My booking with Expedia was confirmed and paid. Upon checking in, I was shocked to be informed that my booking had been transferred to Aqueen Joo Chiat as they were running a full house. I refused to accept the arrangement. Refund was not possible too as booking was from Expedia. 

Explanation first given was full house, then system glitch, then the last room was faulty. The duty manager even said such circumstance does happen, and it just happened to me. I saw profiles for others guests at counter and challenged why I had to be transferred and not other guests. The explanation was they paid a higher price, so cannot transfer them while I paid a discounted price. Ah ha... so that is it. 

In the end, I had no choice but to accept the arrangement. Room in Aqueen Joo Chiat has serious soundproof problem. Guests returning at 2am was noisy, truck beeping at 5-6am, housekeepers with walkie talkie were loud that I thought they were in my room. 

The worst hotel booking experience and will be cautious of booking discounted hotel through Expedia. 

",2,30-Nov-17,
Aqueen Hotel Paya Lebar,Close to MRT station and within walking distance to shopping & food centres,8,23-Oct-18,
Aqueen Hotel Paya Lebar,"The room condition is neat and clean, but really small. No bath tub, after shower, the toilet floor is all wet.",8,18-Nov-17,
Aqueen Hotel Paya Lebar,Great experience - prompt attendance _ caring staff,10,27-Apr-19,
Aqueen Hotel Paya Lebar,A bit hard to get Grab,10,27-Jun-19,
Aqueen Hotel Paya Lebar,The stay was comfortable. ,10,30-Sep-22,
Aqueen Hotel Paya Lebar,Room is clean and staff nice and helpful. But a bit small comparing to its charge.,8,11-Sep-22,
Aqueen Hotel Paya Lebar,Construction noice,4,2-Sep-22,
Aqueen Hotel Paya Lebar,Shower tap was faulty and staff came fast to rectify the problem.,10,22-Jul-22,
