Hotel Name,Cleanliness,Service
Andaz Singapore - a concept by Hyatt,10,9
Aqueen Hotel Paya Lebar,8.5,8.3
Ascott Raffles Place Singapore (SG Clean),9,8.9
Carlton City Hotel Singapore (SG Clean),9.1,8.8
Carlton City Hotel Singapore (SG Clean),10,9
Carlton City Hotel Singapore (SG Clean),4.3,4.1
Concorde Hotel Singapore (SG Clean),8.3,8.4
"Crowne Plaza Changi Airport (SG Clean), an IHG Hotel",9.4,9.1
Dusit Thani Laguna Singapore,9,9
Fairmont Singapore (SG Clean),10,10
Fairmont Singapore (SG Clean),9.3,9.3
Furama City Centre,9,8
Furama RiverFront,4.1,4.1
Goodwood Park Hotel,9,9
Grand Copthorne Waterfront,4.1,4.1
Grand Park City Hall (SG Clean),9,8.6
Hilton Singapore Orchard (SG Clean),10,9
"Holiday Inn Singapore Little India, an IHG Hotel - SG Clean",8.4,8.3
Hotel Boss,4,3.7
Hotel G Singapore,4.4,4.3
Hotel NuVe Urbane (SG Clean),8.5,8.4
Hotel Royal,9,9
"InterContinental Singapore (SG Clean), an IHG Hotel",9.3,9.1
JEN Singapore Orchardgateway by Shangri-La,4.6,4.3
JEN Singapore Tanglin by Shangri-La,4.5,4.4
M Social Singapore (SG Clean),9,8
M Social Singapore (SG Clean),8.6,8.2
"Mandarin Oriental, Singapore",4.7,4.7
"Mandarin Oriental, Singapore",10,10
Marina Bay Sands,4.5,4.1
Marina Bay Sands,10,10
Orchard Hotel Singapore (SG Clean),9,9
Orchard Hotel Singapore (SG Clean),4.5,4.4
Orchard Hotel Singapore (SG Clean),8.5,8.4
"PARKROYAL COLLECTION Marina Bay, Singapore (SG Clean)",9,9
"PARKROYAL COLLECTION Marina Bay, Singapore (SG Clean)",4.4,4.3
"PARKROYAL COLLECTION Marina Bay, Singapore (SG Clean)",8.5,8.6
"PARKROYAL COLLECTION Pickering, Singapore",9,9
PARKROYAL on Beach Road,4.4,4.3
"PARKROYAL on Kitchener Road, Singapore",7.7,7.6
Park Regis Singapore,4.4,4.4
Royal Plaza on Scotts,8.7,8.8
Shangri-La Singapore (SG Clean),4.7,4.7
Shangri-La Singapore (SG Clean),10,10
Studio M Hotel,7,7.7
"Swissotel The Stamford, Singapore",9.3,9
The Clan Hotel by Far East Hospitality,4.8,4.8
The Fullerton Hotel Singapore (SG Clean),4.7,4.5
The Fullerton Hotel Singapore (SG Clean),10,10
The Fullerton Hotel Singapore (SG Clean),9.5,9.3
The Scarlet Singapore,4.5,4.4
V Hotel Bencoolen,3.7,3.5
Village Hotel Katong by Far East Hospitality (SG Clean),9.1,9.1
W Singapore - Sentosa Cove (SG Clean),10,9
YOTEL Singapore Orchard Road (SG Clean),4.5,4.4
YOTEL Singapore Orchard Road (SG Clean),10,9
YOTEL Singapore Orchard Road (SG Clean),9.1,8.7
York Hotel Singapore,9,9
York Hotel Singapore,4,3.8
